bank_name,lei,period,template_code,row_id,row_label,amount,eba_item_id,is_new_metric,source_page,source_file
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,MR2,6,Foreign exchange movements,-36000000.0,,1,90.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,MR2,7,Other,-36000000.0,,1,90.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,4,Of which Slotting,221000000.0,2520204,0,34.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,6,Counterparty Credit Risk,221000000.0,2520206,0,34.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,10,CVA Risk,47000000.0,2520207,0,34.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,15,Settlement Risk,16000000.0,2520208,0,34.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,23,Operational Risk,3630.0,2520215,0,35.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,24,Operational Risk,3630.0,2520215,0,35.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,29,9 Total equity 8.189 8.131,8189000000.0,2520220,0,33.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,1,Common Equity Tier 1,4959000000.0,2520102,0,14.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,2,Tier 1 capital,0.0225,2520133,0,15.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,3,Total capital,6664000000.0,2520101,0,14.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,4,Total risk exposure amount,30985000000.0,2520138,0,14.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,4a,Total risk exposure pre-floor,30985000000.0,2520154,0,14.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,5,Common Equity Tier 1 ratio,0.16010000000000002,2520146,0,14.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,5b,Common Equity Tier 1 ratio,0.16010000000000002,2520146,0,14.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,6,Tier 1 ratio,0.1826,2520147,0,14.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,6b,Tier 1 ratio,0.1826,2520147,0,14.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,7,Total capital ratio,0.2151,2520148,0,14.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,7b,Total capital ratio,0.2151,2520148,0,14.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,8,Capital conservation buffer,0.025,,1,15.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,9,Countercyclical capital buffer,0.0021,,1,15.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,11,Combined buffer requirement,0.0371,,1,15.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,13,Leverage ratio total exposure measure,75738000000.0,2520903,0,15.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,14,Leverage ratio,0.0747,2520905,0,15.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,17,Total net cash outflows,8327000000.0,,1,15.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,KM1,20,NSFR ratio,1.251,,1,15.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,LIQ1,EU-19a,TOTAL NET CASH OUTFLOWS,8327000000.0,2520922,0,23.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,LIQ1,1,"As of September 2025, the HQLA buffer stood at 17.",2025000000.0,2520911,0,22.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,LIQ1,22,LIQUIDITY BUFFER,16086000000.0,2520925,0,23.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,LIQ1,23,LIQUIDITY COVERAGE RATIO,1930000.0,2520926,0,23.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,MR2,2,Movement in risk levels,20000000.0,,1,21.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,MR2,4,Methodology and policy,30000000.0,,1,21.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,MR2,5,Acquisitions and disposals,30000000.0,,1,21.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,MR2,6,Foreign exchange movements,30000000.0,,1,21.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,MR2,7,Other,30000000.0,,1,21.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,OV1,4,Of which Slotting,177000000.0,2520204,0,18.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,OV1,6,Counterparty Credit Risk,177000000.0,2520206,0,18.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,OV1,10,CVA Risk,30000000.0,2520207,0,18.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,OV1,15,Settlement Risk,16000000.0,2520208,0,18.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,OV1,23,Operational Risk,3630.0,2520215,0,18.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,OV1,24,Operational Risk,3630.0,2520215,0,18.0,2025-09-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-09-30,OV1,29,"Leverage ratio total exposure measure 75,738",75738000000.0,2520220,0,19.0,2025-09-30_Alpha_Bank.pdf
Bank of Cyprus,635400L14KNHJ3DMBX37,2021-06-30,IRRBB1,1,Parallel up,116109138.10855246,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2021-06-30,IRRBB1,2,Parallel down,-35233240.128537625,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,1,Common Equity Tier 1,1937413495.0,2520102,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,2,Tier 1 capital,2157413495.0,2520133,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,3,Total capital,2470422495.0,2520101,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,4,Total risk exposure amount,10580390781.0,2520138,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,5,Common Equity Tier 1 ratio,0.18311360469588311,2520146,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,6,Tier 1 ratio,0.20390678753323827,2520147,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,7,Total capital ratio,0.2334906664729551,2520148,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,7d,Additional own funds requirements to address risks other than the risk of excessive leverage (%),0.027499999999999997,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,7e,of which: to be made up of CET1 capital (percentage points),0.015468750000000003,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,7f,of which: to be made up of Tier 1 capital (percentage points),0.020625000000000004,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,7g,Total SREP own funds requirements (%),0.1075,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,8,Capital conservation buffer,0.02500000004489437,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,8a,Conservation buffer due to macro-prudential or systemic risk identified at the level of a Member State (%),0.0,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,9,Countercyclical capital buffer,0.009361301775154159,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,9a,Systemic risk buffer (%),0.0,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,10,Global Systemically Important Institution buffer (%),0.0,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,10a,Other Systemically Important Institution buffer (%),0.01875,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,11,Combined buffer requirement,0.05311130180646208,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,11a,Overall capital requirements (%),0.16061130176299998,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,12,CET1 available after meeting the total SREP own funds requirements (%),0.12264485469953078,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,13,Leverage ratio total exposure measure,25191000000.0,2520903,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,14,Leverage ratio,0.0856,2520905,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,14a,Additional own funds requirements to address the risk of excessive leverage (%),0.0,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,14b,of which: to be made up of CET1 capital (percentage points),0.0,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,14c,Total SREP leverage ratio requirements (%),0.03,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,14d,Leverage ratio buffer requirement (%),0.0,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,14e,Overall leverage ratio requirement (%),0.03,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,15,Total HQLA,11764290361.04,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,16a,Cash outflows - Total weighted value,3886036164.620817,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,16b,Cash inflows - Total weighted value,470257210.9291667,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,16,Total net cash outflows (adjusted value),3415778953.6916504,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,17,Total net cash outflows,0.03448831409835227,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,18,LCR liquidity coverage ratio,19245743310.45,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,19,Total required stable funding,12305944886.800003,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-06-30,KM1,20,NSFR ratio,0.01563938688779111,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,1,Common Equity Tier 1,1937000000.0,2520102,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,2,Tier 1 capital,2157000000.0,2520133,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,3,Total capital,2479000000.0,2520101,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,4,Total risk exposure amount,10441000000.0,2520138,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,5,Common Equity Tier 1 ratio,0.18552179005860805,2520146,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,6,Tier 1 ratio,0.206592200575732,2520147,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,7,Total capital ratio,0.23740815482999206,2520148,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,7d,Additional own funds requirements to address risks other than the risk of excessive leverage (%),0.027499999999999997,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,7e,of which: to be made up of CET1 capital (percentage points),0.015468750000000003,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,7f,of which: to be made up of Tier 1 capital (percentage points),0.020625000000000004,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,7g,Total SREP own funds requirements (%),0.1075,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,8,Capital conservation buffer,0.025000000033521107,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,8a,Conservation buffer due to macro-prudential or systemic risk identified at the level of a Member State (%),0.0,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,9,Countercyclical capital buffer,0.009336269210013706,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,9a,Systemic risk buffer (%),0.0,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,10,Global Systemically Important Institution buffer (%),0.0,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,10a,Other Systemically Important Institution buffer (%),0.01875,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,11,Combined buffer requirement,0.0530862691968447,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,11a,Overall capital requirements (%),0.160586269234,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,12,CET1 available after meeting the total SREP own funds requirements (%),0.12505304004157813,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,13,Leverage ratio total exposure measure,25558000000.0,2520903,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,14,Leverage ratio,0.0844,2520905,0,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,14a,Additional own funds requirements to address the risk of excessive leverage (%),0.0,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,14b,of which: to be made up of CET1 capital (percentage points),0.0,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,14c,Total SREP leverage ratio requirements (%),0.03,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,14d,Leverage ratio buffer requirement (%),0.0,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,14e,Overall leverage ratio requirement (%),0.03,,1,,2025-06-30_Bank_of_Cyprus.xlsx
Bank of Cyprus,635400L14KNHJ3DMBX37,2024-09-30,KM1,15,Total HQLA,11670000000.0,,1,,2025-06-30_Bank_of_Cyprus.xlsx
