,period,Bank,Item,Portfolio,Product,Risk Type,amount,Item ID,Portfolio ID,Product ID,Risk Type ID
14,2025-06-30,Alpha,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - by Product,IM,Commodity risk ,No breakdown by MKT_Risk,0.00946465,2520412,5,4,0
15,2025-06-30,Alpha,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,General risk,6.69279536,2520413,5,1,1
16,2025-06-30,Alpha,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,Specific risk,0,2520413,5,1,2
17,2025-06-30,Alpha,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - Equities - by Risk,IM,Equities,General risk,0.61284692,2520414,5,2,1
18,2025-06-30,Alpha,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - Equities - by Risk,IM,Equities,Specific risk,0,2520414,5,2,2
19,2025-06-30,Alpha,VAR - PREVIOUS DAY (VaRt-1),IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,2.362669,2520421,5,0,0
20,2025-06-30,Alpha,VAR - PREVIOUS DAY (VaRt-1) - by Product,IM,Traded debt instruments,No breakdown by MKT_Risk,2.213663,2520422,5,1,0
21,2025-06-30,Alpha,VAR - PREVIOUS DAY (VaRt-1) - by Product,IM,Equities,No breakdown by MKT_Risk,0.143365,2520422,5,2,0
22,2025-06-30,Alpha,VAR - PREVIOUS DAY (VaRt-1) - by Product,IM,Foreign Exchange risk,No breakdown by MKT_Risk,1.005882,2520422,5,3,0
23,2025-06-30,Alpha,VAR - PREVIOUS DAY (VaRt-1) - by Product,IM,Commodity risk ,No breakdown by MKT_Risk,0.003502,2520422,5,4,0
24,2025-06-30,Alpha,VAR - PREVIOUS DAY (VaRt-1) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,General risk,2.213663,2520423,5,1,1
25,2025-06-30,Alpha,VAR - PREVIOUS DAY (VaRt-1) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,Specific risk,0,2520423,5,1,2
26,2025-06-30,Alpha,VAR - PREVIOUS DAY (VaRt-1) - Equities - by Risk,IM,Equities,General risk,0.143365,2520424,5,2,1
27,2025-06-30,Alpha,VAR - PREVIOUS DAY (VaRt-1) - Equities - by Risk,IM,Equities,Specific risk,0,2520424,5,2,2
28,2025-06-30,Alpha,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg),IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,15.144092,2520431,5,0,0
29,2025-06-30,Alpha,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - by Product,IM,Traded debt instruments,No breakdown by MKT_Risk,14.69966073,2520432,5,1,0
30,2025-06-30,Alpha,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - by Product,IM,Equities,No breakdown by MKT_Risk,0.59531312,2520432,5,2,0
31,2025-06-30,Alpha,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - by Product,IM,Foreign Exchange risk,No breakdown by MKT_Risk,5.57377194,2520432,5,3,0
32,2025-06-30,Alpha,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - by Product,IM,Commodity risk ,No breakdown by MKT_Risk,0.01604103,2520432,5,4,0
33,2025-06-30,Alpha,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,General risk,14.69966073,2520433,5,1,1
34,2025-06-30,Alpha,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,Specific risk,0,2520433,5,1,2
35,2025-06-30,Alpha,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - Equities - by Risk,IM,Equities,General risk,0.59531312,2520434,5,2,1
36,2025-06-30,Alpha,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - Equities - by Risk,IM,Equities,Specific risk,0,2520434,5,2,2
37,2025-06-30,Alpha,SVAR - LATEST AVAILABLE (SVaRt-1),IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,3.539824,2520441,5,0,0
38,2025-06-30,Alpha,SVAR - LATEST AVAILABLE (SVaRt-1) - by Product,IM,Traded debt instruments,No breakdown by MKT_Risk,3.748417,2520442,5,1,0
39,2025-06-30,Alpha,SVAR - LATEST AVAILABLE (SVaRt-1) - by Product,IM,Equities,No breakdown by MKT_Risk,0.138405,2520442,5,2,0
40,2025-06-30,Alpha,SVAR - LATEST AVAILABLE (SVaRt-1) - by Product,IM,Foreign Exchange risk,No breakdown by MKT_Risk,1.387003,2520442,5,3,0
41,2025-06-30,Alpha,SVAR - LATEST AVAILABLE (SVaRt-1) - by Product,IM,Commodity risk ,No breakdown by MKT_Risk,0.004536,2520442,5,4,0
42,2025-06-30,Alpha,SVAR - LATEST AVAILABLE (SVaRt-1) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,General risk,3.748417,2520443,5,1,1
43,2025-06-30,Alpha,SVAR - LATEST AVAILABLE (SVaRt-1) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,Specific risk,0,2520443,5,1,2
44,2025-06-30,Alpha,SVAR - LATEST AVAILABLE (SVaRt-1) - Equities - by Risk,IM,Equities,General risk,0.138405,2520444,5,2,1
45,2025-06-30,Alpha,SVAR - LATEST AVAILABLE (SVaRt-1) - Equities - by Risk,IM,Equities,Specific risk,0,2520444,5,2,2
46,2025-06-30,Alpha,INCREMENTAL DEFAULT AND MIGRATION RISK CAPITAL CHARGE - 12 WEEKS AVERAGE MEASURE,IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,0,2520451,5,0,0
47,2025-06-30,Alpha,INCREMENTAL DEFAULT AND MIGRATION RISK CAPITAL CHARGE - LAST MEASURE,IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,0,2520461,5,0,0
48,2025-06-30,Alpha,ALL PRICE RISKS CAPITAL CHARGE FOR CTP - FLOOR,IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,0,2520471,5,0,0
49,2025-06-30,Alpha,ALL PRICE RISKS CAPITAL CHARGE FOR CTP - 12 WEEKS AVERAGE MEASURE,IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,0,2520481,5,0,0
50,2025-06-30,Alpha,ALL PRICE RISKS CAPITAL CHARGE FOR CTP - LAST MEASURE,IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,0,2520491,5,0,0
51,2025-06-30,Bank of Cyprus,TOTAL RISK EXPOSURE AMOUNT,SA,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,0,2520401,1,0,0
52,2025-06-30,Bank of Cyprus,TOTAL RISK EXPOSURE AMOUNT,IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,0,2520401,5,0,0
53,2025-06-30,Bank of Cyprus,TOTAL RISK EXPOSURE AMOUNT - by Product,SA,Traded debt instruments,No breakdown by MKT_Risk,0,2520402,1,1,0
54,2025-06-30,Bank of Cyprus,TOTAL RISK EXPOSURE AMOUNT - by Product,SA,Equities,No breakdown by MKT_Risk,0,2520402,1,2,0
55,2025-06-30,Bank of Cyprus,TOTAL RISK EXPOSURE AMOUNT - by Product,SA,Foreign Exchange risk,No breakdown by MKT_Risk,0,2520402,1,3,0
56,2025-06-30,Bank of Cyprus,TOTAL RISK EXPOSURE AMOUNT - by Product,SA,Commodity risk ,No breakdown by MKT_Risk,0,2520402,1,4,0
57,2025-06-30,Bank of Cyprus,TOTAL RISK EXPOSURE AMOUNT - Traded Debt Instruments - by Risk,SA,Traded debt instruments,General risk,0,2520403,1,1,1
58,2025-06-30,Bank of Cyprus,TOTAL RISK EXPOSURE AMOUNT - Traded Debt Instruments - by Risk,SA,Traded debt instruments,Specific risk,0,2520403,1,1,2
59,2025-06-30,Bank of Cyprus,TOTAL RISK EXPOSURE AMOUNT - Equities - by Risk,SA,Equities,General risk,0,2520404,1,2,1
60,2025-06-30,Bank of Cyprus,TOTAL RISK EXPOSURE AMOUNT - Equities - by Risk,SA,Equities,Specific risk,0,2520404,1,2,2
61,2025-06-30,Bank of Cyprus,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg),IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,0,2520411,5,0,0
62,2025-06-30,Bank of Cyprus,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - by Product,IM,Traded debt instruments,No breakdown by MKT_Risk,0,2520412,5,1,0
63,2025-06-30,Bank of Cyprus,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - by Product,IM,Equities,No breakdown by MKT_Risk,0,2520412,5,2,0
64,2025-06-30,Bank of Cyprus,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - by Product,IM,Foreign Exchange risk,No breakdown by MKT_Risk,0,2520412,5,3,0
65,2025-06-30,Bank of Cyprus,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - by Product,IM,Commodity risk ,No breakdown by MKT_Risk,0,2520412,5,4,0
66,2025-06-30,Bank of Cyprus,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,General risk,0,2520413,5,1,1
67,2025-06-30,Bank of Cyprus,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,Specific risk,0,2520413,5,1,2
68,2025-06-30,Bank of Cyprus,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - Equities - by Risk,IM,Equities,General risk,0,2520414,5,2,1
69,2025-06-30,Bank of Cyprus,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - Equities - by Risk,IM,Equities,Specific risk,0,2520414,5,2,2
70,2025-06-30,Bank of Cyprus,VAR - PREVIOUS DAY (VaRt-1),IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,0,2520421,5,0,0
71,2025-06-30,Bank of Cyprus,VAR - PREVIOUS DAY (VaRt-1) - by Product,IM,Traded debt instruments,No breakdown by MKT_Risk,0,2520422,5,1,0
72,2025-06-30,Bank of Cyprus,VAR - PREVIOUS DAY (VaRt-1) - by Product,IM,Equities,No breakdown by MKT_Risk,0,2520422,5,2,0
73,2025-06-30,Bank of Cyprus,VAR - PREVIOUS DAY (VaRt-1) - by Product,IM,Foreign Exchange risk,No breakdown by MKT_Risk,0,2520422,5,3,0
74,2025-06-30,Bank of Cyprus,VAR - PREVIOUS DAY (VaRt-1) - by Product,IM,Commodity risk ,No breakdown by MKT_Risk,0,2520422,5,4,0
75,2025-06-30,Bank of Cyprus,VAR - PREVIOUS DAY (VaRt-1) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,General risk,0,2520423,5,1,1
76,2025-06-30,Bank of Cyprus,VAR - PREVIOUS DAY (VaRt-1) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,Specific risk,0,2520423,5,1,2
77,2025-06-30,Bank of Cyprus,VAR - PREVIOUS DAY (VaRt-1) - Equities - by Risk,IM,Equities,General risk,0,2520424,5,2,1
78,2025-06-30,Bank of Cyprus,VAR - PREVIOUS DAY (VaRt-1) - Equities - by Risk,IM,Equities,Specific risk,0,2520424,5,2,2
79,2025-06-30,Bank of Cyprus,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg),IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,0,2520431,5,0,0
80,2025-06-30,Bank of Cyprus,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - by Product,IM,Traded debt instruments,No breakdown by MKT_Risk,0,2520432,5,1,0
81,2025-06-30,Bank of Cyprus,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - by Product,IM,Equities,No breakdown by MKT_Risk,0,2520432,5,2,0
82,2025-06-30,Bank of Cyprus,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - by Product,IM,Foreign Exchange risk,No breakdown by MKT_Risk,0,2520432,5,3,0
83,2025-06-30,Bank of Cyprus,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - by Product,IM,Commodity risk ,No breakdown by MKT_Risk,0,2520432,5,4,0
84,2025-06-30,Bank of Cyprus,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,General risk,0,2520433,5,1,1
85,2025-06-30,Bank of Cyprus,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,Specific risk,0,2520433,5,1,2
86,2025-06-30,Bank of Cyprus,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - Equities - by Risk,IM,Equities,General risk,0,2520434,5,2,1
87,2025-06-30,Bank of Cyprus,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - Equities - by Risk,IM,Equities,Specific risk,0,2520434,5,2,2
88,2025-06-30,Bank of Cyprus,SVAR - LATEST AVAILABLE (SVaRt-1),IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,0,2520441,5,0,0
89,2025-06-30,Bank of Cyprus,SVAR - LATEST AVAILABLE (SVaRt-1) - by Product,IM,Traded debt instruments,No breakdown by MKT_Risk,0,2520442,5,1,0
90,2025-06-30,Bank of Cyprus,SVAR - LATEST AVAILABLE (SVaRt-1) - by Product,IM,Equities,No breakdown by MKT_Risk,0,2520442,5,2,0
91,2025-06-30,Bank of Cyprus,SVAR - LATEST AVAILABLE (SVaRt-1) - by Product,IM,Foreign Exchange risk,No breakdown by MKT_Risk,0,2520442,5,3,0
92,2025-06-30,Bank of Cyprus,SVAR - LATEST AVAILABLE (SVaRt-1) - by Product,IM,Commodity risk ,No breakdown by MKT_Risk,0,2520442,5,4,0
93,2025-06-30,Bank of Cyprus,SVAR - LATEST AVAILABLE (SVaRt-1) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,General risk,0,2520443,5,1,1
94,2025-06-30,Bank of Cyprus,SVAR - LATEST AVAILABLE (SVaRt-1) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,Specific risk,0,2520443,5,1,2
95,2025-06-30,Bank of Cyprus,SVAR - LATEST AVAILABLE (SVaRt-1) - Equities - by Risk,IM,Equities,General risk,0,2520444,5,2,1
96,2025-06-30,Bank of Cyprus,SVAR - LATEST AVAILABLE (SVaRt-1) - Equities - by Risk,IM,Equities,Specific risk,0,2520444,5,2,2
97,2025-06-30,Bank of Cyprus,INCREMENTAL DEFAULT AND MIGRATION RISK CAPITAL CHARGE - 12 WEEKS AVERAGE MEASURE,IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,0,2520451,5,0,0
98,2025-06-30,Bank of Cyprus,INCREMENTAL DEFAULT AND MIGRATION RISK CAPITAL CHARGE - LAST MEASURE,IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,0,2520461,5,0,0
99,2025-06-30,Bank of Cyprus,ALL PRICE RISKS CAPITAL CHARGE FOR CTP - FLOOR,IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,0,2520471,5,0,0
100,2025-06-30,Bank of Cyprus,ALL PRICE RISKS CAPITAL CHARGE FOR CTP - 12 WEEKS AVERAGE MEASURE,IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,0,2520481,5,0,0
101,2025-06-30,Bank of Cyprus,ALL PRICE RISKS CAPITAL CHARGE FOR CTP - LAST MEASURE,IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,0,2520491,5,0,0
102,2025-06-30,Eurobank,TOTAL RISK EXPOSURE AMOUNT,SA,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,151.58160588,2520401,1,0,0
103,2025-06-30,Eurobank,TOTAL RISK EXPOSURE AMOUNT,IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,765.69916263,2520401,5,0,0
104,2025-06-30,Eurobank,TOTAL RISK EXPOSURE AMOUNT - by Product,SA,Traded debt instruments,No breakdown by MKT_Risk,87.93060476,2520402,1,1,0
105,2025-06-30,Eurobank,TOTAL RISK EXPOSURE AMOUNT - by Product,SA,Equities,No breakdown by MKT_Risk,7.66394975,2520402,1,2,0
106,2025-06-30,Eurobank,TOTAL RISK EXPOSURE AMOUNT - by Product,SA,Foreign Exchange risk,No breakdown by MKT_Risk,55.98705137,2520402,1,3,0
107,2025-06-30,Eurobank,TOTAL RISK EXPOSURE AMOUNT - by Product,SA,Commodity risk ,No breakdown by MKT_Risk,0,2520402,1,4,0
108,2025-06-30,Eurobank,TOTAL RISK EXPOSURE AMOUNT - Traded Debt Instruments - by Risk,SA,Traded debt instruments,General risk,87.93060475,2520403,1,1,1
109,2025-06-30,Eurobank,TOTAL RISK EXPOSURE AMOUNT - Traded Debt Instruments - by Risk,SA,Traded debt instruments,Specific risk,0,2520403,1,1,2
110,2025-06-30,Eurobank,TOTAL RISK EXPOSURE AMOUNT - Equities - by Risk,SA,Equities,General risk,3.573527625,2520404,1,2,1
111,2025-06-30,Eurobank,TOTAL RISK EXPOSURE AMOUNT - Equities - by Risk,SA,Equities,Specific risk,3.573527625,2520404,1,2,2
112,2025-06-30,Eurobank,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg),IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,12.26612544,2520411,5,0,0
113,2025-06-30,Eurobank,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - by Product,IM,Traded debt instruments,No breakdown by MKT_Risk,10.71875357,2520412,5,1,0
114,2025-06-30,Eurobank,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - by Product,IM,Equities,No breakdown by MKT_Risk,0.85104168,2520412,5,2,0
115,2025-06-30,Eurobank,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - by Product,IM,Foreign Exchange risk,No breakdown by MKT_Risk,3.3073018,2520412,5,3,0
116,2025-06-30,Eurobank,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - by Product,IM,Commodity risk ,No breakdown by MKT_Risk,0,2520412,5,4,0
117,2025-06-30,Eurobank,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,General risk,10.34426113,2520413,5,1,1
118,2025-06-30,Eurobank,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,Specific risk,4.251265,2520413,5,1,2
119,2025-06-30,Eurobank,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - Equities - by Risk,IM,Equities,General risk,0.85104168,2520414,5,2,1
120,2025-06-30,Eurobank,VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - Equities - by Risk,IM,Equities,Specific risk,0,2520414,5,2,2
121,2025-06-30,Eurobank,VAR - PREVIOUS DAY (VaRt-1),IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,2.32999148,2520421,5,0,0
122,2025-06-30,Eurobank,VAR - PREVIOUS DAY (VaRt-1) - by Product,IM,Traded debt instruments,No breakdown by MKT_Risk,2.05501879,2520422,5,1,0
123,2025-06-30,Eurobank,VAR - PREVIOUS DAY (VaRt-1) - by Product,IM,Equities,No breakdown by MKT_Risk,0,2520422,5,2,0
124,2025-06-30,Eurobank,VAR - PREVIOUS DAY (VaRt-1) - by Product,IM,Foreign Exchange risk,No breakdown by MKT_Risk,0.65207747,2520422,5,3,0
125,2025-06-30,Eurobank,VAR - PREVIOUS DAY (VaRt-1) - by Product,IM,Commodity risk ,No breakdown by MKT_Risk,0,2520422,5,4,0
126,2025-06-30,Eurobank,VAR - PREVIOUS DAY (VaRt-1) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,General risk,1.87476064,2520423,5,1,1
127,2025-06-30,Eurobank,VAR - PREVIOUS DAY (VaRt-1) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,Specific risk,1.31599156,2520423,5,1,2
128,2025-06-30,Eurobank,VAR - PREVIOUS DAY (VaRt-1) - Equities - by Risk,IM,Equities,General risk,0,2520424,5,2,1
129,2025-06-30,Eurobank,VAR - PREVIOUS DAY (VaRt-1) - Equities - by Risk,IM,Equities,Specific risk,0,2520424,5,2,2
130,2025-06-30,Eurobank,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg),IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,25.9916966,2520431,5,0,0
131,2025-06-30,Eurobank,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - by Product,IM,Traded debt instruments,No breakdown by MKT_Risk,21.10967949,2520432,5,1,0
132,2025-06-30,Eurobank,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - by Product,IM,Equities,No breakdown by MKT_Risk,1.4978313,2520432,5,2,0
133,2025-06-30,Eurobank,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - by Product,IM,Foreign Exchange risk,No breakdown by MKT_Risk,10.78620514,2520432,5,3,0
134,2025-06-30,Eurobank,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - by Product,IM,Commodity risk ,No breakdown by MKT_Risk,0,2520432,5,4,0
135,2025-06-30,Eurobank,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,General risk,13.40429221,2520433,5,1,1
136,2025-06-30,Eurobank,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - Traded Debt Instruments - by Risk,IM,Traded debt instruments,Specific risk,14.23317895,2520433,5,1,2
137,2025-06-30,Eurobank,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - Equities - by Risk,IM,Equities,General risk,1.4978313,2520434,5,2,1
138,2025-06-30,Eurobank,SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - Equities - by Risk,IM,Equities,Specific risk,0,2520434,5,2,2
139,2025-06-30,Eurobank,SVAR - LATEST AVAILABLE (SVaRt-1),IM,No breakdown by MKT_Modprod,No breakdown by MKT_Risk,6.52815541,2520441,5,0,0
140,2025-06-30,Eurobank,SVAR - LATEST AVAILABLE (SVaRt-1) - by Product,IM,Traded debt instruments,No breakdown by MKT_Risk,5.75733758,2520442,5,1,0
141,2025-06-30,Eurobank,SVAR - LATEST AVAILABLE (SVaRt-1) - by Product,IM,Equities,No breakdown by MKT_Risk,0,2520442,5,2,0
142,2025-06-30,Eurobank,SVAR - LATEST AVAILABLE (SVaRt-1) - by Product,IM,Foreign Exchange risk,No breakdown by MKT_Risk,2.46163394,2520442,5,3,0
143,2025-06-30,Eurobank,SVAR - LATEST AVAILABLE (SVaRt-1) - by Product,IM,Commodity risk ,No breakdown by MKT_Risk,0,2520442,5,4,0
